End date,"8/16/2018"
Specimen label,"D60L40N5d4"
Maximum Load,"11.33875",N
Extension at Maximum Load,"283.00095",mm
Maximum Slope (Automatic Young's),"0.04222",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"67.80000","33.90097","1.43819"
"67.90000","33.95095","1.44080"
"68.00000","34.00093","1.44147"
"68.10000","34.05091","1.44331"
"68.20000","34.10090","1.44460"
"68.30000","34.15094","1.44641"
"68.40000","34.20099","1.44798"
"68.50000","34.25085","1.45049"
"68.60000","34.30090","1.45278"
"68.70000","34.35094","1.45385"
"68.80000","34.40099","1.45526"
"68.90000","34.45097","1.45796"
"69.00000","34.50095","1.45974"
"69.10000","34.55082","1.46125"
"69.20000","34.60104","1.46453"
"69.30000","34.65096","1.46773"
"69.40000","34.70095","1.46833"
"69.50000","34.75093","1.47032"
"69.60000","34.80092","1.47515"
"69.70000","34.85090","1.47533"
"69.80000","34.90094","1.47498"
"69.90000","34.95098","1.47870"
"70.00000","35.00091","1.48168"
"70.10000","35.05107","1.48350"
"70.20000","35.10088","1.48340"
"70.30000","35.15098","1.48586"
"70.40000","35.20103","1.48816"
"70.50000","35.25101","1.49005"
"70.60000","35.30099","1.49388"
"70.70000","35.35098","1.49511"
"70.80000","35.40091","1.49758"
"70.90000","35.45089","1.49972"
"71.00000","35.50099","1.50415"
"71.10000","35.55091","1.50484"
"71.20000","35.60090","1.50672"
"71.30000","35.65094","1.51016"
"71.40000","35.70099","1.51279"
"71.50000","35.75091","1.51344"
"71.60000","35.80096","1.51613"
"71.70000","35.85094","1.51846"
"71.80000","35.90099","1.52181"
"71.90000","35.95090","1.52497"
"72.00000","36.00095","1.52618"
"72.10000","36.05093","1.52694"
"72.20000","36.10098","1.52895"
"72.30000","36.15108","1.53268"
"72.40000","36.20083","1.53542"
"72.50000","36.25099","1.53651"
"72.60000","36.30098","1.53936"
"72.70000","36.35096","1.54078"
"72.80000","36.40094","1.54213"
"72.90000","36.45087","1.54738"
"73.00000","36.50091","1.54804"
"73.10000","36.55102","1.54950"
"73.20000","36.60100","1.55407"
"73.30000","36.65099","1.55347"
"73.40000","36.70103","1.55506"
"73.50000","36.75095","1.55810"
"73.60000","36.80088","1.56021"
"73.70000","36.85098","1.56228"
"73.80000","36.90102","1.56389"
"73.90000","36.95095","1.56719"
"74.00000","37.00081","1.56940"
"74.10000","37.05098","1.56944"
"74.20000","37.10090","1.57312"
"74.30000","37.15100","1.57397"
"74.40000","37.20093","1.57787"
"74.50000","37.25092","1.57975"
"74.60000","37.30096","1.58159"
"74.70000","37.35094","1.58258"
"74.80000","37.40092","1.58560"
"74.90000","37.45097","1.59081"
"75.00000","37.50089","1.59009"
"75.10000","37.55088","1.59334"
"75.20000","37.60092","1.59641"
"75.30000","37.65102","1.59626"
"75.40000","37.70095","1.60072"
"75.50000","37.75099","1.59971"
"75.60000","37.80091","1.59916"
"75.70000","37.85108","1.60221"
"75.80000","37.90094","1.60569"
"75.90000","37.95099","1.60892"
"76.00000","38.00091","1.60927"
"76.10000","38.05102","1.61104"
"76.20000","38.10100","1.60826"
"76.30000","38.15092","1.61092"
"76.40000","38.20091","1.61434"
"76.50000","38.25107","1.61474"
"76.60000","38.30093","1.61745"
"76.70000","38.35092","1.61836"
"76.80000","38.40090","1.62004"
"76.90000","38.45095","1.62279"
