End date,"8/16/2018"
Specimen label,"D32L50N5d7-6"
Maximum Load,"120.67461",N
Extension at Maximum Load,"24.56800",mm
Maximum Slope (Automatic Young's),"6.12002",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"32.61600","16.30891","92.25506"
"32.66000","16.33097","92.38634"
"32.70600","16.35405","92.51461"
"32.74000","16.37091","92.64201"
"32.80200","16.40194","92.77009"
"32.84600","16.42394","92.89626"
"32.90200","16.45199","93.02434"
"32.94600","16.47393","93.15093"
"33.00000","16.50095","93.27930"
"33.06800","16.53492","93.40849"
"33.10800","16.55506","93.53709"
"33.14800","16.57497","93.66703"
"33.19600","16.59895","93.79348"
"33.23400","16.61790","93.92293"
"33.27000","16.63590","94.05029"
"33.32600","16.66394","94.18110"
"33.35400","16.67793","94.30621"
"33.40200","16.70185","94.43346"
"33.42800","16.71488","94.56548"
"33.46400","16.73294","94.69298"
"33.52400","16.76289","94.82095"
"33.56800","16.78502","94.94663"
"33.60800","16.80498","95.07967"
"33.66200","16.83195","95.20522"
"33.71600","16.85886","95.33162"
"33.76800","16.88492","95.45744"
"33.82600","16.91398","95.58502"
"33.92600","16.96391","95.67784"
"34.02600","17.01401","95.79575"
"34.12600","17.06393","95.85897"
"34.22600","17.11392","95.97665"
"34.32000","17.16103","96.10369"
"34.40600","17.20390","96.23201"
"34.45000","17.22590","96.35767"
"34.51000","17.25598","96.48832"
"34.56200","17.28193","96.61453"
"34.62000","17.31092","96.74182"
"34.66200","17.33191","96.86810"
"34.72200","17.36192","96.99485"
"34.77200","17.38697","97.12059"
"34.82600","17.41388","97.24640"
"34.87200","17.43696","97.37540"
"34.93200","17.46703","97.50446"
"34.97800","17.48999","97.62987"
"35.03000","17.51588","97.75739"
"35.09000","17.54590","97.88685"
"35.14200","17.57190","98.01253"
"35.21200","17.60700","98.14336"
"35.23200","17.61699","98.27104"
